table_name,columns
app_settings,"id uuid, key text, value jsonb, description text, is_public boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
blocked_users,"id uuid, blocker_id uuid, blocked_id uuid, reason text, created_at timestamp with time zone"
business_categories,"id uuid, name text, slug text, description text, icon text, parent_id uuid, is_active boolean, sort_order integer, created_at timestamp with time zone, updated_at timestamp with time zone"
business_hours,"id uuid, user_id uuid, schedule jsonb, special_hours jsonb, timezone text, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
callback_requests,"id uuid, listing_id uuid, requester_id uuid, seller_id uuid, phone_number text, preferred_time text, message text, status text, created_at timestamp with time zone"
categories,"id uuid, name text, slug text, parent_id uuid, icon text, is_active boolean, sort_order integer, created_at timestamp with time zone"
comment_likes,"id uuid, comment_id uuid, user_id uuid, created_at timestamp with time zone"
comments,"id uuid, post_id uuid, user_id uuid, content text, parent_id uuid, likes_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
community_rewards,"id uuid, user_id uuid, reward_type character varying, credits_earned integer, trigger_action character varying, reference_id uuid, reference_type character varying, metadata jsonb, is_validated boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
consent_history,"id uuid, user_id uuid, consent_type text, consent_given boolean, consent_method text, consent_source text, ip_address inet, user_agent text, legal_basis text, consent_text text, consent_version text, created_at timestamp with time zone"
content_flags,"id uuid, content_type text, content_id uuid, flag_type text, confidence_score numeric, auto_generated boolean, metadata jsonb, created_at timestamp with time zone"
conversations,"id uuid, listing_id uuid, participant_1 uuid, participant_2 uuid, last_message_at timestamp with time zone, created_at timestamp with time zone, buyer_id uuid, seller_id uuid, status text, last_message_content text, buyer_unread_count integer, seller_unread_count integer"
credit_purchases,"id uuid, user_id uuid, package_name text, credits_amount integer, price_amount numeric, currency text, status text, payment_reference text, credits_awarded boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
credit_transactions,"id uuid, user_id uuid, transaction_type text, amount integer, balance_before integer, balance_after integer, description text, reference_type text, reference_id uuid, created_at timestamp with time zone"
data_breach_incidents,"id uuid, incident_reference text, incident_type text, severity text, discovered_at timestamp with time zone, occurred_at timestamp with time zone, contained_at timestamp with time zone, resolved_at timestamp with time zone, affected_data_subjects_count integer, data_categories_affected ARRAY, likely_consequences text, risk_level text, containment_measures text, recovery_measures text, preventive_measures text, supervisory_authority_notified boolean, authority_notification_date timestamp with time zone, data_subjects_notified boolean, subjects_notification_date timestamp with time zone, root_cause text, lessons_learned text, status text, created_at timestamp with time zone, updated_at timestamp with time zone"
data_deletion_requests,"id uuid, user_id uuid, status text, requested_at timestamp with time zone, scheduled_for timestamp with time zone, processed_at timestamp with time zone, reason text, deletion_type text, grace_period_days integer, cancelled_at timestamp with time zone, cancelled_by uuid, cancellation_reason text, processing_started_at timestamp with time zone, processing_completed_at timestamp with time zone, error_message text, retry_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
data_export_requests,"id uuid, user_id uuid, status text, requested_at timestamp with time zone, processed_at timestamp with time zone, export_format text, download_url text, file_size_bytes bigint, expires_at timestamp with time zone, processing_started_at timestamp with time zone, processing_completed_at timestamp with time zone, error_message text, retry_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
data_processing_logs,"id uuid, processing_activity text, purpose text, legal_basis text, data_categories ARRAY, data_subjects ARRAY, recipients ARRAY, third_country_transfers boolean, safeguards text, retention_period text, deletion_schedule text, security_measures ARRAY, controller_name text, processor_name text, dpo_contact text, created_at timestamp with time zone, updated_at timestamp with time zone"
device_tokens,"id uuid, user_id uuid, token text, platform text, device_name text, device_model text, app_version text, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
faq_categories,"id uuid, name text, slug text, description text, icon text, sort_order integer, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
faq_items,"id uuid, category_id uuid, question text, answer text, sort_order integer, is_active boolean, view_count integer, helpful_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
favorites,"id uuid, user_id uuid, listing_id uuid, created_at timestamp with time zone"
feature_purchases,"id uuid, user_id uuid, listing_id uuid, feature_type text, feature_name text, credits_cost integer, duration_hours integer, starts_at timestamp with time zone, expires_at timestamp with time zone, status text, feature_config jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
follows,"id uuid, follower_id uuid, following_id uuid, created_at timestamp with time zone"
hashtags,"id uuid, tag text, created_at timestamp with time zone, posts_count integer, total_engagement integer, last_used_at timestamp with time zone, category text"
image_optimizations,"id uuid, user_id uuid, bucket text, original_path text, original_size integer, variants_created integer, total_savings integer, compression_ratio numeric, optimization_status text, error_message text, created_at timestamp with time zone, completed_at timestamp with time zone"
kb_article_feedback,"id uuid, article_id uuid, user_id uuid, is_helpful boolean, feedback_text text, ip_address text, user_agent text, created_at timestamp with time zone"
kb_articles,"id uuid, title text, slug text, content text, excerpt text, category text, tags ARRAY, status text, published_at timestamp with time zone, author_id uuid, last_updated_by uuid, view_count integer, helpful_count integer, not_helpful_count integer, meta_description text, search_keywords ARRAY, created_at timestamp with time zone, updated_at timestamp with time zone"
likes,"id uuid, user_id uuid, post_id uuid, comment_id uuid, created_at timestamp with time zone"
listing_views,"id uuid, listing_id uuid, user_id uuid, ip_address text, user_agent text, created_at timestamp with time zone"
listings,"id uuid, user_id uuid, title text, description text, price numeric, currency text, category_id uuid, condition text, quantity integer, location text, images jsonb, accept_offers boolean, status text, views integer, featured boolean, featured_until timestamp with time zone, boost_level integer, boost_until timestamp with time zone, metadata jsonb, created_at timestamp with time zone, updated_at timestamp with time zone, category_attributes jsonb, seo_title text, keywords ARRAY"
messages,"id uuid, conversation_id uuid, sender_id uuid, content text, message_type text, images jsonb, offer_data jsonb, status text, reply_to uuid, created_at timestamp with time zone, updated_at timestamp with time zone, attachments jsonb, is_read boolean"
moderation_queue,"id uuid, content_type text, content_id uuid, user_id uuid, content_text text, content_images ARRAY, flagged_reason ARRAY, auto_flagged boolean, manual_review_required boolean, priority_level integer, status text, reviewed_by uuid, reviewed_at timestamp with time zone, review_notes text, created_at timestamp with time zone, updated_at timestamp with time zone"
notification_preferences,"id uuid, user_id uuid, push_enabled boolean, messages_enabled boolean, offers_enabled boolean, community_enabled boolean, system_enabled boolean, quiet_hours_enabled boolean, quiet_start_time time without time zone, quiet_end_time time without time zone, instant_notifications boolean, daily_digest boolean, weekly_summary boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
notifications,"id uuid, user_id uuid, type text, title text, body text, data jsonb, is_read boolean, created_at timestamp with time zone"
offers,"id uuid, listing_id uuid, conversation_id uuid, message_id uuid, buyer_id uuid, seller_id uuid, amount numeric, currency text, message text, status text, expires_at timestamp with time zone, parent_offer_id uuid, created_at timestamp with time zone, updated_at timestamp with time zone"
paystack_transactions,"id uuid, user_id uuid, reference text, paystack_reference text, amount numeric, currency text, payment_method text, status text, purchase_type text, purchase_id text, paystack_response jsonb, webhook_processed boolean, created_at timestamp with time zone, updated_at timestamp with time zone, customer_email text, customer_phone text"
plan_entitlements,"id uuid, plan_id uuid, feature_key text, feature_value text, feature_type text, description text, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
post_hashtags,"id uuid, post_id uuid, hashtag_id uuid, created_at timestamp with time zone"
post_likes,"id uuid, post_id uuid, user_id uuid, created_at timestamp with time zone"
post_shares,"id uuid, post_id uuid, user_id uuid, share_type text, created_at timestamp with time zone"
posts,"id uuid, user_id uuid, content text, images jsonb, listing_id uuid, location text, likes_count integer, comments_count integer, shares_count integer, is_pinned boolean, created_at timestamp with time zone, updated_at timestamp with time zone, views_count integer"
profile_activity_log,"id uuid, user_id uuid, activity_type text, old_values jsonb, new_values jsonb, metadata jsonb, ip_address text, user_agent text, created_at timestamp with time zone"
profiles,"id uuid, first_name text, last_name text, phone text, avatar_url text, location text, bio text, rating numeric, total_sales integer, total_reviews integer, credit_balance numeric, is_verified boolean, is_online boolean, last_seen timestamp with time zone, response_time text, created_at timestamp with time zone, updated_at timestamp with time zone, wallet_balance numeric, pending_balance numeric, verification_status text, account_type text, username text, full_name text, email text, is_business boolean, business_name text, total_listings integer, rating_average numeric, rating_count integer, followers_count integer, following_count integer, posts_count integer, listings_count integer, professional_title text, years_of_experience integer, specializations ARRAY, business_category_id uuid, business_description text, business_established_year integer, business_employee_count text, business_services ARRAY, business_coverage_areas ARRAY, preferred_contact_method text, response_time_expectation text, phone_visibility text, email_visibility text, show_online_status boolean, show_last_seen boolean, profile_completion_percentage integer, last_profile_update timestamp with time zone, verification_level text, is_active boolean, is_suspended boolean, display_business_name boolean, business_name_priority text, business_email text, business_type text, business_phone text, business_website text, verification_badges jsonb, phone_verified boolean, phone_verified_at timestamp with time zone, email_verified boolean, email_verified_at timestamp with time zone, identity_verified boolean, identity_verified_at timestamp with time zone, business_verified boolean, business_verified_at timestamp with time zone, trust_score integer, trust_score_updated_at timestamp with time zone"
push_notification_queue,"id uuid, user_ids ARRAY, title text, body text, notification_type text, data jsonb, status text, attempts integer, max_attempts integer, error_message text, scheduled_for timestamp with time zone, processed_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone"
rate_limit_tracking,"id uuid, identifier text, action_type text, attempt_count integer, window_start timestamp with time zone, window_end timestamp with time zone, is_blocked boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
reports,"id uuid, reporter_id uuid, reported_user_id uuid, reported_post_id uuid, reported_comment_id uuid, reported_listing_id uuid, report_type text, description text, status text, resolution_action text, moderator_id uuid, moderator_notes text, created_at timestamp with time zone, updated_at timestamp with time zone, resolved_at timestamp with time zone"
review_helpful_votes,"id uuid, review_id uuid, user_id uuid, created_at timestamp with time zone"
reviews,"id uuid, reviewer_id uuid, reviewed_id uuid, listing_id uuid, rating integer, comment text, is_verified_purchase boolean, helpful_count integer, created_at timestamp with time zone, updated_at timestamp with time zone, seller_id uuid, buyer_id uuid"
security_events,"id uuid, user_id uuid, event_type text, device_fingerprint text, ip_address inet, user_agent text, location text, metadata jsonb, created_at timestamp with time zone"
social_media_links,"id uuid, user_id uuid, platform text, url text, display_name text, is_active boolean, sort_order integer, created_at timestamp with time zone, updated_at timestamp with time zone"
subscription_plans,"id uuid, plan_name text, display_name text, description text, price_monthly numeric, price_yearly numeric, currency text, features jsonb, credit_allowance integer, is_active boolean, is_featured boolean, sort_order integer, created_at timestamp with time zone, updated_at timestamp with time zone"
support_analytics,"id uuid, date date, tickets_created integer, tickets_resolved integer, tickets_escalated integer, avg_first_response_time integer, avg_resolution_time integer, avg_satisfaction_rating numeric, total_ratings integer, category_breakdown jsonb, agent_metrics jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
support_ticket_messages,"id uuid, ticket_id uuid, sender_id uuid, message text, message_type text, attachments jsonb, is_internal boolean, is_system boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
support_tickets,"id uuid, user_id uuid, ticket_number text, subject text, description text, category text, priority text, status text, assigned_to uuid, assigned_at timestamp with time zone, resolution text, resolved_at timestamp with time zone, resolved_by uuid, satisfaction_rating integer, satisfaction_feedback text, user_agent text, app_version text, device_info jsonb, created_at timestamp with time zone, updated_at timestamp with time zone, first_response_at timestamp with time zone, last_activity_at timestamp with time zone"
transactions,"id uuid, user_id uuid, type text, amount numeric, currency text, description text, reference_id text, related_listing_id uuid, related_offer_id uuid, status text, metadata jsonb, created_at timestamp with time zone, processed_at timestamp with time zone"
trending_topics,"id uuid, hashtag_id uuid, period_start timestamp with time zone, period_end timestamp with time zone, posts_count integer, engagement_count integer, growth_percentage numeric, rank_position integer, created_at timestamp with time zone"
user_achievements,"id uuid, user_id uuid, achievement_type character varying, achievement_name character varying, description text, credits_rewarded integer, progress_current integer, progress_required integer, is_completed boolean, unlocked_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone"
user_credits,"id uuid, user_id uuid, balance integer, lifetime_earned integer, lifetime_spent integer, free_listings_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
user_devices,"id uuid, user_id uuid, device_fingerprint text, device_name text, platform text, user_agent text, ip_address inet, location text, is_trusted boolean, is_current boolean, last_seen timestamp with time zone, created_at timestamp with time zone"
user_privacy_settings,"id uuid, user_id uuid, phone_visibility text, email_visibility text, online_status_visible boolean, last_seen_visible boolean, profile_searchable boolean, show_in_suggestions boolean, allow_messages_from text, allow_calls_from text, data_processing_consent boolean, marketing_consent boolean, analytics_consent boolean, two_factor_enabled boolean, login_notifications boolean, suspicious_activity_alerts boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
user_reward_history,"id uuid, user_id uuid, reward_type character varying, is_claimed boolean, claimed_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone"
user_sessions,"id uuid, user_id uuid, device_info jsonb, ip_address text, user_agent text, last_activity timestamp with time zone, created_at timestamp with time zone"
user_settings,"id uuid, user_id uuid, push_notifications boolean, email_notifications boolean, phone_visibility text, online_status_visibility boolean, theme_preference text, language text, currency text, created_at timestamp with time zone, updated_at timestamp with time zone"
user_subscriptions,"id uuid, user_id uuid, plan_id uuid, subscription_type text, status text, current_period_start timestamp with time zone, current_period_end timestamp with time zone, payment_method text, payment_reference text, cancelled_at timestamp with time zone, cancellation_reason text, created_at timestamp with time zone, updated_at timestamp with time zone"
user_verification,"id uuid, user_id uuid, verification_type text, status text, documents jsonb, submitted_data jsonb, reviewer_notes text, submitted_at timestamp with time zone, reviewed_at timestamp with time zone, expires_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone, verification_code text, verification_token text, reviewer_id uuid, rejection_reason text, approved_at timestamp with time zone, ip_address inet, user_agent text, device_info jsonb"
verification_documents,"id uuid, verification_id uuid, user_id uuid, document_type text, file_url text, file_name text, file_size integer, mime_type text, status text, review_notes text, is_encrypted boolean, encryption_key text, uploaded_at timestamp with time zone, reviewed_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone"
verification_history,"id uuid, verification_id uuid, user_id uuid, action text, actor_id uuid, actor_type text, details jsonb, notes text, ip_address inet, user_agent text, created_at timestamp with time zone"
verification_templates,"id uuid, verification_type text, title text, description text, instructions jsonb, required_documents jsonb, optional_documents jsonb, required_fields jsonb, auto_approve boolean, review_required boolean, expiry_days integer, max_attempts integer, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"